ID,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,AR_MODEL_NUMBER,AR_SERIAL_NUMBER,AR_BATTERY_INSTALL_DATE,AR_EXPECTED_BATTERY_LIFE,AR_VOLTAGE_AT_DEPLOY,AR_TILT_AFTER_DEPLOY,AR_INTERROGATE_CODE,AR_RECEIVE_FREQUENCY,AR_REPLY_FREQUENCY,AR_PING_RATE,AR_ENABLE_CODE_ADDRESS,AR_RELEASE_CODE,AR_DISABLE_CODE,AR_TILT_CODE,DEPLOYED_BY,GLATOS_STATUS,GLATOS_SEASONAL,GLATOS_STUDY
1,BLL,1,,,,,4/26/2011,46.53548,-84.21334,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
2,BRS,1,,,,,4/27/2011,46.47057,-84.4601,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
3,BRS,2,,,,,4/27/2011,46.47314,-84.46475,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
4,CHR,1,,,,,4/26/2011,46.32385,-84.23487,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
5,CKI,1,,,,,4/26/2011,46.49511,-84.26829,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
6,CKI,2,,,,,5/11/2011,46.49664,-84.2621,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
7,CKI,3,,,,,4/26/2011,46.49564,-84.27901,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
8,CKI,4,,,,,4/26/2011,46.4946,-84.27208,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
9,CKI,5,,,,,4/26/2011,46.49582,-84.27356,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
10,DCK,1,,,,,4/25/2011,46.35817,-84.1351,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
11,DCK,2,,,,,4/25/2011,46.3603,-84.12911,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
12,EDS,1,,,,,5/2/2011,46.49858,-84.33344,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
13,EDS,2,,,,,5/2/2011,46.49879,-84.3339,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
14,EDS,3,,,,,5/2/2011,46.49855,-84.33418,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
15,EDS,4,,,,,5/2/2011,46.49831,-84.33359,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
16,GRD,2,,,,,4/25/2011,46.52976,-84.15162,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
17,GRD,3,,,,,4/25/2011,46.52865,-84.15153,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
18,GRD,4,,,,,4/25/2011,46.52936,-84.15208,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
19,GRD,5,,,,,4/25/2011,46.52819,-84.15257,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
20,GRD,6,,,,,4/25/2011,46.52884,-84.15327,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
21,GRD,10,,,,,5/18/2011,46.53321,-84.15925,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
22,GRD,11,,,,,5/24/2011,46.53402,-84.15312,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
23,IS1,2,,,,,4/27/2011,46.47802,-84.29275,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
24,IS1,4,,,,,4/27/2011,46.48143,-84.3983,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
25,LRC,1,,,,,4/25/2011,46.26305,-84.18961,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
26,LRC,3,,,,,4/25/2011,46.26505,-84.1865,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
27,LRC,4,,,,,4/25/2011,46.26421,-84.18837,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
28,LRC,5,,,,,4/25/2011,46.26354,-84.18998,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
29,LRC,6,,,,,4/25/2011,46.26476,-84.18876,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
30,LRC,7,,,,,4/25/2011,46.26414,-84.19046,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
31,LRP,1,,,,,4/27/2011,46.48011,-84.2878,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
32,MNB,1,,,,,4/25/2011,46.32634,-84.15932,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
33,MNB,2,,,,,4/25/2011,46.32631,-84.15779,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
34,MNB,5,,,,,4/25/2011,46.3259,-84.15764,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
35,OVP,1,,,,,4/27/2011,46.49767,-84.38947,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
36,OVP,2,,,,,4/27/2011,46.50206,-84.39233,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
37,OVP,3,,,,,4/27/2011,46.50366,-84.39418,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
38,PCH,1,,,,,4/26/2011,46.52568,-84.17261,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
39,PCH,2,,,,,4/26/2011,46.52794,-84.12245,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
40,RNS,3,,,,,4/25/2011,46.25246,-84.09887,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
41,RNS,6,,,,,4/25/2011,46.2536,-84.1023,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
42,RTR,1,,,,,5/24/2011,46.54233,-84.21272,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
43,RTR,2,,,,,5/18/2011,46.54275,-84.21596,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
44,RVR,1,,,,,4/27/2011,46.46682,-84.29266,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
45,RVR,2,,,,,4/27/2011,46.47621,-84.30229,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
46,SQR,1,,,,,4/25/2011,46.5145,-84.11586,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
47,SQR,2,,,,,4/25/2011,46.51362,-84.11764,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
48,SQR,3,,,,,4/25/2011,46.51278,-84.11596,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
49,SQR,4,,,,,4/25/2011,46.51394,-84.11397,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
50,SSM,1,,,,,5/2/2011,46.5102,-84.34106,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
51,SSM,2,,,,,5/2/2011,46.50894,-84.34162,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
52,SSM,3,,,,,5/11/2011,46.50692,-84.34166,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
53,SSM,4,,,,,5/2/2011,46.50049,-84.33755,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
54,SSM,6,,,,,5/11/2011,46.50553,-84.33995,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
55,SSM,8,,,,,5/11/2011,46.5062,-84.34212,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
56,SSM,9,,,,,5/11/2011,46.50589,-84.34477,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
57,SSM,10,,,,,5/11/2011,46.50696,-84.34477,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
58,SSM,11,,,,,5/2/2011,46.5078,-84.34188,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
59,SSM,12,,,,,5/2/2011,46.50816,-84.34528,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
60,SSM,13,,,,,5/2/2011,46.50851,-84.34321,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
61,SSM,14,,,,,5/2/2011,46.50963,-84.3393,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
62,SSM,15,,,,,5/2/2011,46.51116,-84.34283,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
63,SSM,16,,,,,5/2/2011,46.51163,-84.34044,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
64,SSM,18,,,,,5/2/2011,46.51284,-84.34411,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
65,SSM,19,,,,,5/2/2011,46.51307,-84.34192,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
66,SSM,20,,,,,5/2/2011,46.50953,-84.34276,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
67,STR,1,,,,,4/25/2011,46.31731,-84.11905,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
68,STR,2,,,,,4/25/2011,46.31875,-84.11188,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
69,URC,4,,,,,4/25/2011,46.2864,-84.21157,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,STM
70,BBI,1,,,,,5/13/2011,45.67467,-84.41952,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
71,BBI,2,,,,,9/14/2010,45.68316,-84.41941,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
72,BBI,3,,,,,9/14/2010,45.69116,-84.41951,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
73,BBI,4,,,,,9/14/2010,45.69908,-84.41951,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
74,BBI,5,,,,,9/14/2010,45.70701,-84.41849,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
75,BBI,6,,,,,5/13/2011,45.71467,-84.41903,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
76,BWA,1,,,,,4/19/2011,43.00685,-82.41977,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
77,BWA,2,,,,,4/19/2011,43.00373,-82.41725,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
78,BWB,1,,,,,4/19/2011,42.97987,-82.41373,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
79,BWB,2,,,,,4/19/2011,42.98182,-82.42081,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
80,FMP,1,,,,,9/15/2010,45.49065,-83.9105,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
81,FMP,2,,,,,9/15/2010,45.49911,-83.90592,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
82,FMP,3,,,,,9/15/2010,45.50758,-83.90125,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
83,GRS,1,,,,,4/21/2011,42.12896,-83.13953,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
84,GRS,2,,,,,4/21/2011,42.09198,-83.14936,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
85,LVD,1,,,,,4/21/2011,42.1293,-83.12518,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
86,LVD,2,,,,,4/21/2011,42.12159,-83.12621,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
87,LVU,1,,,,,4/21/2011,42.12767,-83.11902,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
88,LVU,2,,,,,4/21/2011,42.11935,-83.11705,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
89,MAU,1,,,,,3/25/2011,41.571,-83.61712,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
90,MAU,2,,,,,3/25/2011,41.57428,-83.60693,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
91,MAU,3,,,,,3/25/2011,41.57612,-83.61071,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
92,OSC,1,,,,,5/5/2011,44.45195,-83.31855,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
93,OSC,2,,,,,9/22/2010,44.45157,-83.30574,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
94,OSC,3,,,,,9/22/2010,44.45158,-83.29331,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
95,OSC,4,,,,,9/22/2010,44.45159,-83.2808,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
96,OSC,5,,,,,9/22/2010,44.45165,-83.26799,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
97,OSC,6,,,,,9/22/2010,44.45159,-83.25502,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
98,OSC,7,,,,,9/22/2010,44.45155,-83.24261,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
99,OSC,8,,,,,9/22/2010,44.45155,-83.23006,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
100,OSC,9,,,,,9/22/2010,44.45146,-83.21752,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
101,OSC,10,,,,,9/22/2010,44.45147,-83.20462,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
102,OSC,11,,,,,9/22/2010,44.45151,-83.19199,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
103,OSC,12,,,,,9/22/2010,44.45154,-83.17941,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
104,PRS,1,,,,,9/15/2010,45.33385,-83.45832,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
105,PRS,2,,,,,9/15/2010,45.33988,-83.44838,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
106,PRS,3,,,,,9/15/2010,45.34606,-83.43851,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
107,SBI,1,,,,,5/5/2011,44.17871,-83.54776,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
108,SBI,2,,,,,9/22/2010,44.17713,-83.54172,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
109,SBI,3,,,,,9/22/2010,44.17254,-83.53088,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
110,SBI,4,,,,,9/22/2010,44.16792,-83.52018,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
111,SBI,5,,,,,9/22/2010,44.16338,-83.50944,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
112,SBI,6,,,,,9/20/2010,44.1589,-83.49872,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
113,SBI,7,,,,,9/20/2010,44.15433,-83.48784,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
114,SBI,8,,,,,9/20/2010,44.14976,-83.4771,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
115,SBI,9,,,,,9/20/2010,44.14518,-83.46636,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
116,SBI,10,,,,,9/20/2010,44.14067,-83.45554,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
117,SBI,11,,,,,9/20/2010,44.13609,-83.44477,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
118,SBI,12,,,,,9/20/2010,44.1315,-83.434,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
119,SBI,13,,,,,9/20/2010,44.12693,-83.4232,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
120,SBI,14,,,,,9/20/2010,44.12246,-83.41243,,,,,FALSE,VR2 W,,,FALSE,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HEC
