ID,OTN_ARRAY,STATION_NO,CONSECUTIVE_DEPLOY_NO,INTEND_LAT,INTEND_LONG,OTN_MISSION_ID,DEPLOY_DATE_TIME,DEPLOY_LAT,DEPLOY_LONG,BOTTOM_DEPTH,RISER_LENGTH,INSTRUMENT_DEPTH,CHECWLK_COMPLETE_TIME,STATUS_IN,INS_MODEL_NUMBER,INS_SERIAL_NUMBER,SYNC_DATE_TIME,MEMORY_ERASED_AT_DEPLOY,RCV_BATTERY_INSTALL_DATE,RCV_EXPECTED_BATTERY_LIFE,RCV_VOLTAGE_AT_DEPLOY,RCV_TILT_AFTER_DEPLOY,AR_MODEL_NUMBER,AR_SERIAL_NUMBER,AR_BATTERY_INSTALL_DATE,AR_EXPECTED_BATTERY_LIFE,AR_VOLTAGE_AT_DEPLOY,AR_TILT_AFTER_DEPLOY,AR_INTERROGATE_CODE,AR_RECEIVE_FREQUENCY,AR_REPLY_FREQUENCY,AR_PING_RATE,AR_ENABLE_CODE_ADDRESS,AR_RELEASE_CODE,AR_DISABLE_CODE,AR_TILT_CODE,DEPLOYED_BY,GLATOS_STATUS,GLATOS_SEASONAL,GLATOS_STUDY,FREQUENCY
1,BLL,001,,,,,4/26/2011,46.53548,-84.21334,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
2,BRS,001,,,,,4/27/2011,46.47057,-84.4601,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
3,BRS,002,,,,,4/27/2011,46.47314,-84.46475,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
4,CHR,001,,,,,4/26/2011,46.32385,-84.23487,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
5,CKI,001,,,,,4/26/2011,46.49511,-84.26829,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
6,CKI,002,,,,,5/11/2011,46.49664,-84.2621,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
7,CKI,003,,,,,4/26/2011,46.49564,-84.27901,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
8,CKI,004,,,,,4/26/2011,46.4946,-84.27208,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
9,CKI,005,,,,,4/26/2011,46.49582,-84.27356,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
10,DCK,001,,,,,4/25/2011,46.35817,-84.1351,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
11,DCK,002,,,,,4/25/2011,46.3603,-84.12911,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
12,EDS,001,,,,,5/2/2011,46.49858,-84.33344,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
13,EDS,002,,,,,5/2/2011,46.49879,-84.3339,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
14,EDS,003,,,,,5/2/2011,46.49855,-84.33418,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
15,EDS,004,,,,,5/2/2011,46.49831,-84.33359,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
16,GRD,002,,,,,4/25/2011,46.52976,-84.15162,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
17,GRD,003,,,,,4/25/2011,46.52865,-84.15153,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
18,GRD,004,,,,,4/25/2011,46.52936,-84.15208,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
19,GRD,005,,,,,4/25/2011,46.52819,-84.15257,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
20,GRD,006,,,,,4/25/2011,46.52884,-84.15327,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
21,GRD,010,,,,,5/18/2011,46.53321,-84.15925,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
22,GRD,011,,,,,5/24/2011,46.53402,-84.15312,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
23,IS1,002,,,,,4/27/2011,46.47802,-84.29275,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
24,IS1,004,,,,,4/27/2011,46.48143,-84.3983,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
25,LRC,001,,,,,4/25/2011,46.26305,-84.18961,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
26,LRC,003,,,,,4/25/2011,46.26505,-84.1865,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
27,LRC,004,,,,,4/25/2011,46.26421,-84.18837,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
28,LRC,005,,,,,4/25/2011,46.26354,-84.18998,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
29,LRC,006,,,,,4/25/2011,46.26476,-84.18876,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
30,LRC,007,,,,,4/25/2011,46.26414,-84.19046,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
31,LRP,001,,,,,4/27/2011,46.48011,-84.2878,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
32,MNB,001,,,,,4/25/2011,46.32634,-84.15932,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
33,MNB,002,,,,,4/25/2011,46.32631,-84.15779,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
34,MNB,005,,,,,4/25/2011,46.3259,-84.15764,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
35,OVP,001,,,,,4/27/2011,46.49767,-84.38947,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
36,OVP,002,,,,,4/27/2011,46.50206,-84.39233,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
37,OVP,003,,,,,4/27/2011,46.50366,-84.39418,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
38,PCH,001,,,,,4/26/2011,46.52568,-84.17261,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
39,PCH,002,,,,,4/26/2011,46.52794,-84.12245,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
40,RNS,003,,,,,4/25/2011,46.25246,-84.09887,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
41,RNS,006,,,,,4/25/2011,46.2536,-84.1023,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
42,RTR,001,,,,,5/24/2011,46.54233,-84.21272,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
43,RTR,002,,,,,5/18/2011,46.54275,-84.21596,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
44,RVR,001,,,,,4/27/2011,46.46682,-84.29266,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
45,RVR,002,,,,,4/27/2011,46.47621,-84.30229,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
46,SQR,001,,,,,4/25/2011,46.5145,-84.11586,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
47,SQR,002,,,,,4/25/2011,46.51362,-84.11764,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
48,SQR,003,,,,,4/25/2011,46.51278,-84.11596,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
49,SQR,004,,,,,4/25/2011,46.51394,-84.11397,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
50,SSM,001,,,,,5/2/2011,46.5102,-84.34106,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
51,SSM,002,,,,,5/2/2011,46.50894,-84.34162,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
52,SSM,003,,,,,5/11/2011,46.50692,-84.34166,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
53,SSM,004,,,,,5/2/2011,46.50049,-84.33755,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
54,SSM,006,,,,,5/11/2011,46.50553,-84.33995,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
55,SSM,008,,,,,5/11/2011,46.5062,-84.34212,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
56,SSM,009,,,,,5/11/2011,46.50589,-84.34477,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
57,SSM,010,,,,,5/11/2011,46.50696,-84.34477,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
58,SSM,011,,,,,5/2/2011,46.5078,-84.34188,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
59,SSM,012,,,,,5/2/2011,46.50816,-84.34528,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
60,SSM,013,,,,,5/2/2011,46.50851,-84.34321,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
61,SSM,014,,,,,5/2/2011,46.50963,-84.3393,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
62,SSM,015,,,,,5/2/2011,46.51116,-84.34283,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
63,SSM,016,,,,,5/2/2011,46.51163,-84.34044,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
64,SSM,018,,,,,5/2/2011,46.51284,-84.34411,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
65,SSM,019,,,,,5/2/2011,46.51307,-84.34192,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
66,SSM,020,,,,,5/2/2011,46.50953,-84.34276,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
67,STR,001,,,,,4/25/2011,46.31731,-84.11905,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
68,STR,002,,,,,4/25/2011,46.31875,-84.11188,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
69,URC,004,,,,,4/25/2011,46.2864,-84.21157,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,YES,SMRSL,69 kHz
70,BBI,001,,,,,5/13/2011,45.67467,-84.41952,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
71,BBI,002,,,,,9/14/2010,45.68316,-84.41941,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
72,BBI,003,,,,,9/14/2010,45.69116,-84.41951,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
73,BBI,004,,,,,9/14/2010,45.69908,-84.41951,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
74,BBI,005,,,,,9/14/2010,45.70701,-84.41849,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
75,BBI,006,,,,,5/13/2011,45.71467,-84.41903,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
76,BWA,001,,,,,4/19/2011,43.00685,-82.41977,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
77,BWA,002,,,,,4/19/2011,43.00373,-82.41725,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
78,BWB,001,,,,,4/19/2011,42.97987,-82.41373,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
79,BWB,002,,,,,4/19/2011,42.98182,-82.42081,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
80,FMP,001,,,,,9/15/2010,45.49065,-83.9105,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
81,FMP,002,,,,,9/15/2010,45.49911,-83.90592,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
82,FMP,003,,,,,9/15/2010,45.50758,-83.90125,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
83,GRS,001,,,,,4/21/2011,42.12896,-83.13953,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
84,GRS,002,,,,,4/21/2011,42.09198,-83.14936,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
85,LVD,001,,,,,4/21/2011,42.1293,-83.12518,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
86,LVD,002,,,,,4/21/2011,42.12159,-83.12621,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
87,LVU,001,,,,,4/21/2011,42.12767,-83.11902,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
88,LVU,002,,,,,4/21/2011,42.11935,-83.11705,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
89,MAU,001,,,,,3/25/2011,41.571,-83.61712,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
90,MAU,002,,,,,3/25/2011,41.57428,-83.60693,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
91,MAU,003,,,,,3/25/2011,41.57612,-83.61071,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
92,OSC,001,,,,,5/5/2011,44.45195,-83.31855,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
93,OSC,002,,,,,9/22/2010,44.45157,-83.30574,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
94,OSC,003,,,,,9/22/2010,44.45158,-83.29331,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
95,OSC,004,,,,,9/22/2010,44.45159,-83.2808,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
96,OSC,005,,,,,9/22/2010,44.45165,-83.26799,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
97,OSC,006,,,,,9/22/2010,44.45159,-83.25502,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
98,OSC,007,,,,,9/22/2010,44.45155,-83.24261,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
99,OSC,008,,,,,9/22/2010,44.45155,-83.23006,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
100,OSC,009,,,,,9/22/2010,44.45146,-83.21752,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
101,OSC,010,,,,,9/22/2010,44.45147,-83.20462,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
102,OSC,011,,,,,9/22/2010,44.45151,-83.19199,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
103,OSC,012,,,,,9/22/2010,44.45154,-83.17941,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
104,PRS,001,,,,,9/15/2010,45.33385,-83.45832,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
105,PRS,002,,,,,9/15/2010,45.33988,-83.44838,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
106,PRS,003,,,,,9/15/2010,45.34606,-83.43851,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
107,SBI,001,,,,,5/5/2011,44.17871,-83.54776,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
108,SBI,002,,,,,9/22/2010,44.17713,-83.54172,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
109,SBI,003,,,,,9/22/2010,44.17254,-83.53088,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
110,SBI,004,,,,,9/22/2010,44.16792,-83.52018,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
111,SBI,005,,,,,9/22/2010,44.16338,-83.50944,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
112,SBI,006,,,,,9/20/2010,44.1589,-83.49872,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
113,SBI,007,,,,,9/20/2010,44.15433,-83.48784,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
114,SBI,008,,,,,9/20/2010,44.14976,-83.4771,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
115,SBI,009,,,,,9/20/2010,44.14518,-83.46636,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
116,SBI,010,,,,,9/20/2010,44.14067,-83.45554,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
117,SBI,011,,,,,9/20/2010,44.13609,-83.44477,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
118,SBI,012,,,,,9/20/2010,44.1315,-83.434,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
119,SBI,013,,,,,9/20/2010,44.12693,-83.4232,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
120,SBI,014,,,,,9/20/2010,44.12246,-83.41243,,,,,,VR2 W,,,,,,,,,,,,,,,,,,,,,,,ACTUAL,NO,HECWL,69 kHz
